Region,Country,State,City,Month,Day,Year,AvgTemperature
Africa,Ivory Coast,,Abidjan,8,2,2004,77.7
Africa,Ivory Coast,,Abidjan,8,3,2004,76.2
Africa,Ivory Coast,,Abidjan,8,4,2004,76.4
Africa,Ivory Coast,,Abidjan,8,5,2004,76.5
Africa,Ivory Coast,,Abidjan,8,6,2004,75.2
Africa,Ivory Coast,,Abidjan,8,7,2004,74.3
Africa,Ivory Coast,,Abidjan,8,8,2004,74.3
Africa,Ivory Coast,,Abidjan,8,9,2004,74.8
Africa,Ivory Coast,,Abidjan,8,10,2004,74.8
Africa,Ivory Coast,,Abidjan,8,11,2004,75.4
Africa,Ivory Coast,,Abidjan,8,12,2004,75.7
Africa,Ivory Coast,,Abidjan,8,13,2004,75.5
Africa,Ivory Coast,,Abidjan,8,14,2004,74.3
Africa,Ivory Coast,,Abidjan,8,15,2004,73.7
Africa,Ivory Coast,,Abidjan,8,16,2004,73.3
Africa,Ivory Coast,,Abidjan,8,17,2004,75.3
Africa,Ivory Coast,,Abidjan,8,18,2004,75.8
Africa,Ivory Coast,,Abidjan,8,19,2004,74.9
Africa,Ivory Coast,,Abidjan,8,20,2004,75.9
Africa,Ivory Coast,,Abidjan,8,21,2004,75.9
Africa,Ivory Coast,,Abidjan,8,22,2004,78.3
Africa,Ivory Coast,,Abidjan,8,23,2004,75.0
Africa,Ivory Coast,,Abidjan,8,24,2004,75.9
Africa,Ivory Coast,,Abidjan,8,25,2004,77.3
Africa,Ivory Coast,,Abidjan,8,26,2004,76.8
Africa,Ivory Coast,,Abidjan,8,27,2004,76.9
Africa,Ivory Coast,,Abidjan,8,28,2004,79.4
Africa,Ivory Coast,,Abidjan,8,29,2004,79.2
Africa,Ivory Coast,,Abidjan,8,30,2004,78.9
Africa,Ivory Coast,,Abidjan,8,31,2004,77.8
Africa,Ivory Coast,,Abidjan,9,1,2004,77.9
Africa,Ivory Coast,,Abidjan,9,2,2004,76.6
Africa,Ivory Coast,,Abidjan,9,3,2004,77.2
Africa,Ivory Coast,,Abidjan,9,4,2004,77.5
Africa,Ivory Coast,,Abidjan,9,5,2004,77.7
Africa,Ivory Coast,,Abidjan,9,6,2004,77.6
Africa,Ivory Coast,,Abidjan,9,7,2004,77.8
Africa,Ivory Coast,,Abidjan,9,8,2004,80.2
Africa,Ivory Coast,,Abidjan,9,9,2004,78.4
Africa,Ivory Coast,,Abidjan,9,10,2004,78.7
Africa,Ivory Coast,,Abidjan,9,11,2004,79.0
Africa,Ivory Coast,,Abidjan,9,12,2004,79.3
Africa,Ivory Coast,,Abidjan,9,13,2004,80.1
Africa,Ivory Coast,,Abidjan,9,14,2004,80.0
Africa,Ivory Coast,,Abidjan,9,15,2004,78.2
Africa,Ivory Coast,,Abidjan,9,16,2004,79.0
Africa,Ivory Coast,,Abidjan,9,17,2004,79.0
