storm_date,storm_time,time_zone_offset,state_abbreviation,state_name,state_fips_code,magnitude,injured_count,fatality_count,property_loss,crop_loss,yearly_tornado_count,start_lon,start_lat,end_long,end_lat,length,width,tornado_path_geom
2015-06-07,00:15:00,-06:00,IA,Iowa,19,0,0,0,0.015,0.004,575683,-94.0213,42.0995,-93.9673,42.1081,2.83,120.0,"LINESTRING(-94.0213 42.0995, -93.9673 42.1081)"
2015-11-11,14:00:00,-06:00,IA,Iowa,19,1,0,0,0.405,0,602617,-94.5585,40.7157,-94.3545,40.9904,21.8,1350.0,"LINESTRING(-94.5585 40.7157, -94.4565 40.85305, -94.3545 40.9904)"
2016-09-21,17:32:00,-06:00,IA,Iowa,19,0,0,0,3000,3000,614379,-92.7308,42.9155,-92.7105,42.9341,1.65,150.0,"LINESTRING(-92.7308 42.9155, -92.7105 42.9341)"
2008-05-01,17:59:00,-06:00,IA,Iowa,19,2,0,0,0.51,0,553,-96.3,43.14,-96.42,43.3,12.95,1200.0,"LINESTRING(-96.3 43.14, -96.42 43.3)"
2017-06-28,16:05:00,-06:00,IA,Iowa,19,2,0,0,75000,10000,615497,-94.7771,40.5851,-94.6462,40.6043,6.99,3000.0,"LINESTRING(-94.7771 40.5851, -94.6462 40.6043)"
2006-04-13,19:29:00,-06:00,IA,Iowa,19,2,30,0,12,0,356,-91.55,41.67,-91.55,41.67,4.5,1761.0,
2005-11-12,16:58:00,-06:00,IA,Iowa,19,2,1,0,0.35,0,1204,-93.7,42.02,-93.6,42.13,12.0,300.0,"LINESTRING(-93.7 42.02, -93.6 42.13)"
2001-06-01,15:55:00,-06:00,IA,Iowa,19,1,0,0,0.12,0,993,-91.77,42.5,-91.73,42.5,1.0,450.0,"LINESTRING(-91.77 42.5, -91.73 42.5)"
2004-05-21,17:08:00,-06:00,IA,Iowa,19,2,15,0,2.52,0,903,-94.52,42.82,-94.32,42.8,12.5,2640.0,"LINESTRING(-94.52 42.82, -94.32 42.8)"
2017-03-06,21:50:00,-06:00,IA,Iowa,19,0,0,0,5000,0,614755,-90.8302,42.293,-90.7344,42.3352,5.7,75.0,"LINESTRING(-90.8302 42.293, -90.7344 42.3352)"
2007-10-02,15:40:00,-06:00,IA,Iowa,19,1,0,0,0.075,0,988,-93.63,41.58,-93.62,41.58,0.44,60.0,"LINESTRING(-93.63 41.58, -93.62 41.58)"
2014-06-16,18:45:00,-06:00,IA,Iowa,19,0,0,0,0.4,0.001,518047,-92.7498,42.7831,-92.7159,42.782,1.72,450.0,"LINESTRING(-92.7498 42.7831, -92.7159 42.782)"
2001-06-01,15:30:00,-06:00,IA,Iowa,19,0,0,0,0.003,0,788,-92.45,42.52,-92.45,42.52,0.2,90.0,
2015-06-20,18:32:00,-06:00,IA,Iowa,19,1,0,0,0.3,0,610626,-91.2844,40.8123,-91.2494,40.7783,2.92,150.0,"LINESTRING(-91.2844 40.8123, -91.2494 40.7783)"
2017-06-28,15:21:00,-06:00,IA,Iowa,19,1,0,0,10000,5000,615492,-94.8906,41.0626,-94.823,41.0828,3.78,300.0,"LINESTRING(-94.8906 41.0626, -94.823 41.0828)"
1999-05-16,18:36:00,-06:00,IA,Iowa,19,0,0,0,0.002,0,936,-94.15,41.83,-94.15,41.83,0.3,0.0,
2005-05-10,19:13:00,-06:00,IA,Iowa,19,0,0,0,0.002,0,733,-95.08,41.58,-95.05,41.6,2.0,120.0,"LINESTRING(-95.08 41.58, -95.05 41.6)"
2013-05-19,17:32:00,-06:00,IA,Iowa,19,0,0,0,0.004,0,440819,-94.0668,41.5878,-94.0329,41.6039,2.08,300.0,"LINESTRING(-94.0668 41.5878, -94.0329 41.6039)"
2017-06-28,15:43:00,-06:00,IA,Iowa,19,0,0,0,1000,2000,615494,-94.6763,41.0779,-94.6393,41.0813,1.94,90.0,"LINESTRING(-94.6763 41.0779, -94.6393 41.0813)"
2004-05-21,13:38:00,-06:00,IA,Iowa,19,1,0,0,0.002,0,898,-92.77,42.42,-92.72,42.4,3.5,300.0,"LINESTRING(-92.77 42.42, -92.72 42.4)"
2000-07-09,20:15:00,-06:00,IA,Iowa,19,1,0,0,0.06,0,1025,-96.13,43.28,-96.17,43.23,3.0,300.0,"LINESTRING(-96.13 43.28, -96.17 43.23)"
2000-05-11,18:03:00,-06:00,IA,Iowa,19,3,25,1,1.75,0,764,-92.45,42.52,-92.0,42.6,18.6,630.0,"LINESTRING(-92.45 42.52, -92.225 42.56, -92 42.6)"
2005-05-18,17:58:00,-06:00,IA,Iowa,19,1,0,0,0.09,0,737,-94.4242,42.319,-94.1107,42.4215,24.5,300.0,"LINESTRING(-94.4242 42.319, -94.26745 42.37025, -94.1107 42.4215)"
2008-06-05,23:10:00,-06:00,IA,Iowa,19,1,0,0,0.18,0.01,1108,-93.53,41.22,-93.31,41.42,18.26,450.0,"LINESTRING(-93.53 41.22, -93.42 41.32, -93.31 41.42)"
2008-05-25,15:48:00,-06:00,IA,Iowa,19,5,70,9,100.3,0.232,912,-92.88,42.55,-92.08,42.62,40.97,6300.0,"LINESTRING(-92.88 42.55, -92.68 42.5675, -92.48 42.585, -92.28 42.6025, -92.08 42.62)"
2015-06-20,17:09:00,-06:00,IA,Iowa,19,1,0,0,0.08,0.011,588662,-92.6485,41.1178,-92.5903,41.0907,3.57,525.0,"LINESTRING(-92.6485 41.1178, -92.5903 41.0907)"
2007-06-22,15:35:00,-06:00,IA,Iowa,19,2,0,0,0.7,0.015,770,-93.78,41.49,-93.66,41.47,6.36,450.0,"LINESTRING(-93.78 41.49, -93.66 41.47)"
2017-05-17,17:50:00,-06:00,IA,Iowa,19,0,0,0,2000,0,615195,-91.9043,43.3512,-91.904,43.3541,0.2,90.0,"LINESTRING(-91.9043 43.3512, -91.904 43.3541)"
2017-07-19,17:08:00,-06:00,IA,Iowa,19,1,2,0,840000,0,615580,-91.2827,43.0096,-91.1706,43.0264,5.78,1200.0,"LINESTRING(-91.2827 43.0096, -91.1706 43.0264)"
2014-04-27,14:20:00,-06:00,IA,Iowa,19,1,0,2,0.025,0,503591,-92.3117,41.1325,-91.7825,41.6601,45.68,4800.0,"LINESTRING(-92.3117 41.1325, -92.1794 41.2644, -92.0471 41.3963, -91.9148 41.5282, -91.7825 41.6601)"
2016-07-17,04:15:00,-06:00,IA,Iowa,19,2,4,0,275000,15000,614209,-91.8966,41.8912,-91.8215,41.8767,3.99,225.0,"LINESTRING(-91.8966 41.8912, -91.8215 41.8767)"
